misconception_id,misconception,tweet,tweet_id,label
3,Coronavirus is genetically engineered.,How the COVID-19 outbreak is changing global politics,1233965490948591616,na
30,Blowing conch shells destroys coronavirus potency.,Getting coronavirus and then coughing on people is accelerationist praxis,1233907923765559296,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,Disturbing letter about life in COVID-19 ward in China is abruptly retracted,1233911842910720000,na
22,Cocaine cures coronavirus.,"How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona",1233947734094290944,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,This is concerning - They must self-insure for workers comp.  If the healthcare network behaves this way; mortality for coronavirus will be much higher.  Wuhan health system collapsed once 30-35% of staff was infected.  #CONVID-19,1233937085297332224,na
25,Holy communion cannot be the cause of the spread of coronavirus,coronavirus and illegals ; the Democratic Party should be responsible for the spread of a Community disease because of the illegals not being vetted and having a proper process. I’am sure they will take full responsibility of any deaths caused to them or us;RIGHT?,1233955845756653568,na
61,Lions were freed to keep people off the streets in Moscow.,Not surprised with dem &amp; liberal policies like allowing ppl to Sh*t in the streets. Coronavirus was found in human feces.,1233917889557692416,na
3,Coronavirus is genetically engineered.,"No it's not. Coronavirus is a form of flu. Same symptoms as the flu. Treated like the flu. Exactly the same people are at the most risk as the flu. 62,000 people die of the flu in the US every year, and nobody calls it a pandemic. You're all hysterical idiots.",1233952635725778944,na
40,Cannabis protects against COVID-19.,UN health agency warns against coronavirus COVID-19 criminal,1233940738439815168,na
50,It is safe for individuals infected with COVID-19 to go to work.,"“Most people (not elderly, no underlying health conditions) will NOT become critically ill from Covid-19. But it has higher chance of leading to serious respiratory symptoms than seasonal flu "" …”",1233920123183828992,na
3,Coronavirus is genetically engineered.,China is Confronting the COVID-19 Epidemic. Was It Man-Made? An Act of of Bio-warfare? By Peter Koenig. #coronavirus #svpol,1233932767102152704,pos
10,Coronavirus is caused by 5G.,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines –",1233961044172853248,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",The decrease in pollution in China from COVID-19 reminds of how the Black Plague led to the Little Ice Age,1233985492573618176,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,15-20% of people with COVID-19 may require hospitalization. There aren’t enough hospital beds in the US to take care of these and 1-2% of those need ICU/ventilator etc. will still be a really really big deal even in best case scenario,1233921523695652864,na
3,Coronavirus is genetically engineered.,More Evidence Emerging that new Coronavirus is genetically engineered,1233982885184622592,pos
61,Lions were freed to keep people off the streets in Moscow.,A sheriff's office tried to get meth off the streets in northwest Kansas with a funny twist.,1233919886839222272,na
5,The first person infected is a researcher named Huang Yanling.,"In China’s War on the Coronavirus, a Community Is Besieged",1233993586338926592,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.","A 78-year-old man in Perth is Australia's first death from coronavirus. He was on board the Diamond Princess - and an evacuation flight from Tokyo with 6 Kiwis on board. 

The latest on #covid19 from both sides of the Tasman on next - including some welcome good news.",1233973897063583744,na
